id,callsign,type,status,station_id
fdny-ladder-103,Ladder 103,Rear Mount,Available,FDNY-E290L103
fdny-engine-292,Engine 292,Engine,Available,FDNY-E292R4
fdny-rescue- 4,Rescue 4,Rescue,Available,FDNY-E292R4
fdny-engine-293,Engine 293,Engine,Available,FDNY-E293
fdny-engine-294,Engine 294,Engine,Available,FDNY-E294L143
fdny-ladder-143,Ladder 143,Tractor Trailor,Available,FDNY-E294L143
fdny-engine-295,Engine 295,Engine,Available,FDNY-E295L144
fdny-ladder-144,Ladder 144,Tower Ladder,Available,FDNY-E295L144
fdny-engine-297,Engine 297,Engine,Available,FDNY-E297L130
fdny-ladder-130,Ladder 130,Rear Mount,Available,FDNY-E297L130
fdny-battalion-50,Battalion 50,Battalion,Available,FDNY-E298L127B50
fdny-engine-298,Engine 298,Engine,Available,FDNY-E298L127B50
fdny-ladder-127,Ladder 127,Tower Ladder,Available,FDNY-E298L127B50
fdny-engine-299,Engine 299,Engine,Available,FDNY-E299L152
fdny-ladder-152,Ladder 152,Tower Ladder,Available,FDNY-E299L152
fdny-engine-301,Engine 301,Engine,Available,FDNY-E301L150
fdny-ladder-150,Ladder 150,Rear Mount,Available,FDNY-E301L150
fdny-engine-302,Engine 302,Engine,Available,FDNY-E302L155
fdny-ladder-155,Ladder 155,Tower Ladder,Available,FDNY-E302L155
fdny-engine-303,Engine 303,Engine,Available,FDNY-E303L126
fdny-ladder-126,Ladder 126,Rear Mount,Available,FDNY-E303L126
fdny-engine-304,Engine 304,Engine,Available,FDNY-E304L162
fdny-ladder-162,Ladder 162,Tower Ladder,Available,FDNY-E304L162
fdny-engine-305,Engine 305,Engine,Available,FDNY-E305L151
fdny-ladder-151,Ladder 151,Rear Mount,Available,FDNY-E305L151
fdny-engine-306,Engine 306,Engine,Available,FDNY-E306
fdny-engine-307,Engine 307,Engine,Available,FDNY-E307L154
fdny-ladder-154,Ladder 154,Rear Mount,Available,FDNY-E307L154
fdny-battalion-51,Battalion 51,Battalion,Available,FDNY-E308B51
fdny-engine-308,Engine 308,Engine,Available,FDNY-E308B51
fdny-engine-309,Engine 309,Engine,Available,FDNY-E309L159
fdny-ladder-159,Ladder 159,Tower Ladder,Available,FDNY-E309L159
fdny-engine-310,Engine 310,Engine,Available,FDNY-E310L174
fdny-ladder-174,Ladder 174,Rear Mount,Available,FDNY-E310L174
fdny-engine-311,Engine 311,Engine,Available,FDNY-E311L158
fdny-ladder-158,Ladder 158,Tower Ladder,Available,FDNY-E311L158
fdny-battalion-49,Battalion 49,Battalion,Available,FDNY-E312B49
fdny-engine-312,Engine 312,Engine,Available,FDNY-E312B49
fdny-engine-313,Engine 313,Engine,Available,FDNY-E313L164
fdny-ladder-164,Ladder 164,Tower Ladder,Available,FDNY-E313L164
fdny-engine-314,Engine 314,Engine,Available,FDNY-E314
fdny-engine-315,Engine 315,Engine,Available,FDNY-E315L125
fdny-ladder-125,Ladder 125,Rear Mount,Available,FDNY-E315L125
fdny-engine-316,Engine 316,Engine,Available,FDNY-E316
fdny-battalion-54,Battalion 54,Battalion,Available,FDNY-E317L165B54
fdny-engine-317,Engine 317,Engine,Available,FDNY-E317L165B54
fdny-ladder-165,Ladder 165,Rear Mount,Available,FDNY-E317L165B54
fdny-engine-318,Engine 318,Engine,Available,FDNY-E318L166
fdny-ladder-166,Ladder 166,Rear Mount,Available,FDNY-E318L166
fdny-engine-319,Engine 319,Engine,Available,FDNY-E319
fdny-engine-320,Engine 320,Engine,Available,FDNY-E320L167
fdny-ladder-167,Ladder 167,Rear Mount,Available,FDNY-E320L167
fdny-engine-321,Engine 321,Engine,Available,FDNY-E321
fdny-engine-323,Engine 323,Engine,Available,FDNY-E323
fdny-division-14,Division 14,Division,Available,FDNY-E324D14
fdny-engine-324,Engine 324,Engine,Available,FDNY-E324D14
fdny-satellite-4,Satellite 4,Satellite,Available,FDNY-E324D14
fdny-engine-325,Engine 325,Engine,Available,FDNY-E325L163
fdny-ladder-163,Ladder 163,Tower Ladder,Available,FDNY-E325L163
fdny-battalion-53,Battalion 53,Battalion,Available,FDNY-E326L160B53
fdny-engine-326,Engine 326,Engine,Available,FDNY-E326L160B53
fdny-ladder-160,Ladder 160,Tower Ladder,Available,FDNY-E326L160B53
fdny-engine-329,Engine 329,Engine,Available,FDNY-E329
fdny-engine-330,Engine 330,Engine,Available,FDNY-E330L172
fdny-ladder-172,Ladder 172,Tower Ladder,Available,FDNY-E330L172
fdny-engine-331,Engine 331,Engine,Available,FDNY-E331L173
fdny-ladder-173,Ladder 173,Rear Mount,Available,FDNY-E331L173
fdny-engine-332,Engine 332,Engine,Available,FDNY-E332L175
fdny-ladder-175,Ladder 175,Tractor Trailor,Available,FDNY-E332L175
fdny-engine-33,Engine 33,Engine,Available,FDNY-E33L9
fdny-ladder-9,Ladder 9,Tower Ladder,Available,FDNY-E33L9
fdny-engine-34,Engine 34,Engine,Available,FDNY-E34L21
fdny-ladder-21,Ladder 21,Tower Ladder,Available,FDNY-E34L21
fdny-battalion-12,Battalion 12,Battalion,Available,FDNY-E35L14B12
fdny-engine-35,Engine 35,Engine,Available,FDNY-E35L14B12
fdny-ladder-14,Ladder 14,Tower Ladder,Available,FDNY-E35L14B12
fdny-engine-37,Engine 37,Engine,Available,FDNY-E37L40
fdny-ladder-40,Ladder 40,Tractor Trailor,Available,FDNY-E37L40
fdny-engine-38,Engine 38,Engine,Available,FDNY-E38L51
fdny-ladder-51,Ladder 51,Tower Ladder,Available,FDNY-E38L51
fdny-engine-39,Engine 39,Engine,Available,FDNY-E39L16
fdny-ladder-16,Ladder 16,Rear Mount,Available,FDNY-E39L16
fdny-battalion-7,Battalion 7,Battalion,Available,FDNY-E3L12B7
fdny-engine-3,Engine 3,Engine,Available,FDNY-E3L12B7
fdny-ladder-12,Ladder 12,Tower Ladder,Available,FDNY-E3L12B7
fdny-engine-40,Engine 40,Engine,Available,FDNY-E40L35
fdny-ladder-35,Ladder 35,Tower Ladder,Available,FDNY-E40L35
fdny-engine-42,Engine 42,Engine,Available,FDNY-E42
fdny-engine-43,Engine 43,Engine,Available,FDNY-E43L59
fdny-ladder-59,Ladder 59,Rear Mount,Available,FDNY-E43L59
fdny-engine-44,Engine 44,Engine,Available,FDNY-E44
fdny-htmu-44,HTMU 44,HazMat,Available,FDNY-E44
fdny-battalion-18,Battalion 18,Battalion,Available,FDNY-E45L58B18
fdny-engine-45,Engine 45,Engine,Available,FDNY-E45L58B18
fdny-ladder-58,Ladder 58,Tower Ladder,Available,FDNY-E45L58B18
fdny-collapse-3,Collapse 3,Collapse,Available,FDNY-E46L27
fdny-engine-46,Engine 46,Engine,Available,FDNY-E46L27
fdny-ladder-27,Ladder 27,Rear Mount,Available,FDNY-E46L27
fdny-engine-47,Engine 47,Engine,Available,FDNY-E47
fdny-division-7,Division 7,Division,Available,FDNY-E48L56D7
fdny-engine-48,Engine 48,Engine,Available,FDNY-E48L56D7
fdny-ladder-56,Ladder 56,Rear Mount,Available,FDNY-E48L56D7
fdny-engine-4,Engine 4,Engine,Available,FDNY-E4L15
fdny-ladder-15,Ladder 15,Tower Ladder,Available,FDNY-E4L15
fdny-engine-5,Engine 5,Engine,Available,FDNY-E5
fdny-battalion-26,Battalion 26,Battalion,Available,FDNY-E50L19B26
fdny-engine-50,Engine 50,Engine,Available,FDNY-E50L19B26
fdny-ladder-19,Ladder 19,Rear Mount,Available,FDNY-E50L19B26
fdny-engine-52,Engine 52,Engine,Available,FDNY-E52L52
fdny-ladder-52,Ladder 52,Rear Mount,Available,FDNY-E52L52
fdny-engine-53,Engine 53,Engine,Available,FDNY-E53L43
fdny-ladder-43,Ladder 43,Rear Mount,Available,FDNY-E53L43
fdny-battalion-9,Battalion 9,Battalion,Available,FDNY-E54L4B9
fdny-engine-54,Engine 54,Engine,Available,FDNY-E54L4B9
fdny-ladder-4,Ladder 4,Rear Mount,Available,FDNY-E54L4B9
fdny-engine-55,Engine 55,Engine,Available,FDNY-E55
fdny-engine-58,Engine 58,Engine,Available,FDNY-E58L26
fdny-ladder-26,Ladder 26,Rear Mount,Available,FDNY-E58L26
fdny-engine-59,Engine 59,Engine,Available,FDNY-E59L30
fdny-ladder-30,Ladder 30,Rear Mount,Available,FDNY-E59L30
fdny-engine-6,Engine 6,Engine,Available,FDNY-E6
fdny-battalion-14,Battalion 14,Battalion,Available,FDNY-E60L17B14
fdny-engine-60,Engine 60,Engine,Available,FDNY-E60L17B14
fdny-ladder-17,Ladder 17,Tower Ladder,Available,FDNY-E60L17B14
fdny-engine-62,Engine 62,Engine,Available,FDNY-E62L32
fdny-ladder-32,Ladder 32,Rear Mount,Available,FDNY-E62L32
fdny-battalion-15,Battalion 15,Battalion,Available,FDNY-E63L39B15
fdny-engine-63,Engine 63,Engine,Available,FDNY-E63L39B15
fdny-ladder-39,Ladder 39,Tractor Trailor,Available,FDNY-E63L39B15
fdny-engine-64,Engine 64,Engine,Available,FDNY-E64L47
fdny-ladder-47,Ladder 47,Rear Mount,Available,FDNY-E64L47
fdny-engine-65,Engine 65,Engine,Available,FDNY-E65
fdny-engine-66,Engine 66,Engine,Available,FDNY-E66L61
fdny-ladder-61,Ladder 61,Rear Mount,Available,FDNY-E66L61
fdny-engine-67,Engine 67,Engine,Available,FDNY-E67
fdny-engine-68,Engine 68,Engine,Available,FDNY-E68L49
fdny-ladder-49,Ladder 49,Rear Mount,Available,FDNY-E68L49
fdny-battalion-16,Battalion 16,Battalion,Available,FDNY-E69L28B16
fdny-engine-69,Engine 69,Engine,Available,FDNY-E69L28B16
fdny-ladder-28,Ladder 28,Rear Mount,Available,FDNY-E69L28B16
fdny-engine-70,Engine 70,Engine,Available,FDNY-E70L53
fdny-ladder-53,Ladder 53,Tower Ladder,Available,FDNY-E70L53
fdny-division-6,Division 6,Division,Available,FDNY-E71L55D6
fdny-engine-71,Engine 71,Engine,Available,FDNY-E71L55D6
fdny-ladder-55,Ladder 55,Rear Mount,Available,FDNY-E71L55D6
fdny-engine-72,Engine 72,Engine,Available,FDNY-E72
fdny-satellite-2,Satellite 2,Satellite,Available,FDNY-E72
fdny-engine-73,Engine 73,Engine,Available,FDNY-E73L42
fdny-ladder-42,Ladder 42,Rear Mount,Available,FDNY-E73L42
fdny-engine-74,Engine 74,Engine,Available,FDNY-E74
fdny-battalion-19,Battalion 19,Battalion,Available,FDNY-E75L33B19
fdny-engine-75,Engine 75,Engine,Available,FDNY-E75L33B19
fdny-ladder-33,Ladder 33,Tower Ladder,Available,FDNY-E75L33B19
fdny-battalion-11,Battalion 11,Battalion,Available,FDNY-E76L22B11
fdny-engine-76,Engine 76,Engine,Available,FDNY-E76L22B11
fdny-ladder-22,Ladder 22,Tower Ladder,Available,FDNY-E76L22B11
fdny-battalion-27,Battalion 27,Battalion,Available,FDNY-E79L37B27
fdny-engine-79,Engine 79,Engine,Available,FDNY-E79L37B27
fdny-ladder-37,Ladder 37,Rear Mount,Available,FDNY-E79L37B27
fdny-battalion-1,Battalion 1,Battalion,Available,FDNY-E7L1B1
fdny-engine-7,Engine 7,Engine,Available,FDNY-E7L1B1
fdny-ladder-1,Ladder 1,Tower Ladder,Available,FDNY-E7L1B1
fdny-engine-80,Engine 80,Engine,Available,FDNY-E80L23
fdny-ladder-23,Ladder 23,Tower Ladder,Available,FDNY-E80L23
fdny-engine-81,Engine 81,Engine,Available,FDNY-E81L46
fdny-ladder-46,Ladder 46,Tower Ladder,Available,FDNY-E81L46
fdny-engine-82,Engine 82,Engine,Available,FDNY-E82L31
fdny-ladder-31,Ladder 31,Tower Ladder,Available,FDNY-E82L31
fdny-engine-83,Engine 83,Engine,Available,FDNY-E83L29
fdny-ladder-29,Ladder 29,Rear Mount,Available,FDNY-E83L29
fdny-engine-84,Engine 84,Engine,Available,FDNY-E84L34
fdny-ladder-34,Ladder 34,Tractor Trailor,Available,FDNY-E84L34
fdny-engine-88,Engine 88,Engine,Available,FDNY-E88L38
fdny-ladder-38,Ladder 38,Rear Mount,Available,FDNY-E88L38
fdny-engine-89,Engine 89,Engine,Available,FDNY-E89L50
fdny-ladder-50,Ladder 50,Tower Ladder,Available,FDNY-E89L50
fdny-battalion-8,Battalion 8,Battalion,Available,FDNY-E8L2B8
fdny-engine-8,Engine 8,Engine,Available,FDNY-E8L2B8
fdny-ladder-2,Ladder 2,Rear Mount,Available,FDNY-E8L2B8
fdny-engine-90,Engine 90,Engine,Available,FDNY-E90L41
fdny-ladder-41,Ladder 41,Tower Ladder,Available,FDNY-E90L41
fdny-engine-91,Engine 91,Engine,Available,FDNY-E91
fdny-battalion-17,Battalion 17,Battalion,Available,FDNY-E92L44B17
fdny-engine-92,Engine 92,Engine,Available,FDNY-E92L44B17
fdny-ladder-44,Ladder 44,Tower Ladder,Available,FDNY-E92L44B17
fdny-battalion-13,Battalion 13,Battalion,Available,FDNY-E93L45B13
fdny-engine-93,Engine 93,Engine,Available,FDNY-E93L45B13
fdny-ladder-45,Ladder 45,Tower Ladder,Available,FDNY-E93L45B13
fdny-battalion-3,Battalion 3,Battalion,Available,FDNY-E94L48B3
fdny-engine-94,Engine 94,Engine,Available,FDNY-E94L48B3
fdny-ladder-48,Ladder 48,Rear Mount,Available,FDNY-E94L48B3
fdny-engine-95,Engine 95,Engine,Available,FDNY-E95L36
fdny-ladder-36,Ladder 36,Rear Mount,Available,FDNY-E95L36
fdny-engine-96,Engine 96,Engine,Available,FDNY-E96L54
fdny-ladder-54,Ladder 54,Tower Ladder,Available,FDNY-E96L54
